sobota 20. 07.,,,,
third,,,,
,Pyroxene,si,definitivno ne,
,Circle of execution,ch,dokaj slabi prehodi sam ce ni nc bolsga,
,Procreation,nld,meh,
,Big bad wolf,si,meh,
,Convictive,de,kr uredu ni lih presezk sam lahko gres,
,Inmate,si,definitivno ne,
,Doctor Cyclops,ita,ni neki bas sam ce ni nc bolsga za delat,
,,,,
nedelja 21. 07.,,,,
third,,,,
,Molybaron,fra,krneki,
,Hellavista,aut,ni neki baš,
,Klynt,aut,krneki,
,Eternal delyria,ch,kr uredu,
,Teleport,si,kr uredu,
,Coexistence,ita,kr uredu,
,Signs of algorithm,bel,krneki,
,,,,
ponedeljek 22. 07.,,,,
main,,,,
15:40 - 16:10,Ten ton slug,irl,kr uredu,
16:30 - 17:10,Unhuman insurrection,ita,o boh ne,
17:30 - 18:20,Lucifer,swe,definitivno ni metal ampak ni slabo,
18:45 - 19:35,Alien Weaponry,nzl,ni glih moj stil sam ce ni bolsga,
20:00 - 21:00,While she sleeps,gb,mixed feels ce bos meu se koga k bi su,
21:30 - 22:40,Neurosis,usa,bl ne k ja,
23:10 - 00:30,Arch enemy,swe,ne,
,,,,
second,,,,
15:35 - 16:10,Fearancy,aut,če hočš slb cover band limp bizkit brez kletvic,
16:25 - 17:00,Hexa mera,bel,kr konkretn dobr,b
17:20 - 18:00,Siska,ita,wannabe iron maiden? Ni lih dobr,
18:20 - 19:05,Leeched,gb,kr uredu mau suicidaly se splača pogledat,b
19:25 - 20:10,Rolo Tomassi,gb,je kr uredu sam preveč non metal če nimaš druzga,
20:35 - 21:25,October tide,swe,ni bed se splača,b
21:50 - 22:50,Dornenreich,aut,vokal v de kaj čš bolšga,b
00:30 - 01:40,Necrophobic,swe,zelo dobr,b
,,,,
third,,,,
,Bel o kan,fra,če daš pičko v bend še ne pomen da bo dobr,
,Incursed,esp,weak vokal,
,Heathenspawn,aus,kr konkretno dobr,b
,Moonskin,fra,skor k pentagram sam slb ženski vokal,
,Distruzione,ita,ni slabo,
,,,,
torek 23. 07.,,,,
main,,,,
15:40 - 16:10,Voice of ruin,ch,bl deathen trash kr dobr,
16:30 - 17:10,W.E.B.,grc,ni slabo sam ni pa tut neki ful,
17:30 - 18:20,Infected rain,mld,meh,
18:45 - 19:35,The Vintage Caravan,ice,ni slabo sam ne spada na kemp,
20:00 - 21:00,Rise of the northstar,fra,japan influ limp bizkit neki ni slabo,
21:30 - 22:40,Finntroll,fin,DEFINITIVNO,rb
23:10 - 00:30,Architects,gb,meh,
,,,,
second,,,,
15:35 - 16:10,The bearded bastards,fra,kr zabavno,
16:25 - 17:00,Reject the sickness,bel,dobr je pejt pogledat,b
17:20 - 18:00,Kairos,swe,meh,
18:20 - 19:05,Alkaloid,deu,dobr je pejt pogledat,b
19:25 - 20:10,Ritam nereda,srb,treba da se podpira,b
20:35 - 21:20,Noctiferia,si,lahko,
21:50 - 22:50,Tribulation,swe,ni slabo,
00:30 - 01:40,In the woods,nor,počasn ampak dobr za zaklučt dan,b
,,,,
third,,,,
,Islay,de,zelo dobr,b
,The Privateer,de,zabavno,
,Slave pit,bulg,meh,
,Dead season,fra,meh,
,Esodic,jor,ni slabo,
,,,,
sreda 24. 07.,,,,
main,,,,
15:40 - 16:10,Supreme carnage,de,propr,b
16:30 - 17:10,Altair,ita,ne,
17:30 - 18:20,Dead Label,irl,kr dobr,
18:45 - 19:35,Kalmah,fin,zabavno,b
20:00 - 21:00,Kvelertak,nor,ni slabo ni metal,
21:30 - 22:40,Rotting Christ,grc,čeprou je biu tazadn album flop,b
23:10 - 00:30,Dream Theater,usa,bojo intro pa outro zaigral,
,,,,
second,,,,
15:35 - 16:10,Athiria,au,niso slabi se splača,b
16:25 - 17:00,Glista,si,def,b
17:20 - 18:05,Atrexial,esp,kr konkretn,b
18:20 - 19:05,Hour of penance,ita,definitivno,b
19:25 - 20:10,Une misere,isl,dobr je pejt pogledat,b
20:35 - 21:25,Stoned jesus,ukr,ne,
21:50 - 22:50,Saturnus,den,ni neki baš,
00:30 - 01:40,Akercocke,gbr,ni neki baš,
,,,,
third,,,,
,Countless skies,gb,še kr,
,Shade of hatred,nld,kr konkretn,b
,Leave scars,bel,oldskul trash še kr,
,Scardust,isr,oyvey ne (drgač svaka ji čast na vokalu),
,Infinitas,ch,cringe,
,,,,
četrtek 25. 07.,,,,
main,,,,
15:40 - 16:10,Morost,si,niso slabi,
16:30 - 17:10,Hydra,de,krneki,
17:30 - 18:20,Bloodshot Dawn,gb,propr,b
18:45 - 19:35,Decapitated,pol,konkretno,b
20:00 - 21:00,Soilwork,swe,meh,
21:30 - 22:40,Hypocrisy,swe,Peter Tagtgren is my spirit animal <3,rb
23:10 - 00:30,Demons & Wizards,de,mislm so kr klasika,
,,,,
second,,,,
15:25 - 16:05,Orcus O dis,mex,sredneveški melo sound dobr je,b
16:20 - 17:00,Heart of A Coward,gb,ni slabo če lahko pejt pogledat,b
17:20 - 18:00,Fallen Arise,grc,bl pop metal... ne,
18:20 - 19:05,Cliteater,nld,definitivno,b
19:25 - 20:10,Skeletal remains,usa,klasičn death,
20:35 - 21:25,Liquid graveyard,gbr,ni slabo mogoče mau preveč avantgard.,
21:50 - 22:50,Gaahls Wyrd,nor,dobr sam se pokriva z hypocrisy :’(,
00:30 - 01:40,God is an astronaut,irl,meh,
,,,,
third,,,,
,Immortal shadow,esp,ni nek presežk,
,Arcanus,esp,ni nek presežk,
,Swarm of serpents,usa,pejt pogledat k ni bed,b
,Lurking,fra,še kr sam ni neki baš,
,Captain morgan's revenge,si,meh sej ni bed no,
,,,,
petek 26. 07.,,,,
main,,,,
15:40 - 16:10,Winterhorde,isr,ni slabo,b
16:30 - 17:10,Nox vorago,swe,kr uredu,b
17:30 - 18:20,Critical mess,de,ženski vokal sam ni slb,
18:45 - 19:35,Bullet,swe,classic heavy,
20:00 - 21:00,Tarja,fin,meh,
21:30 - 22:40,Korpiklaani,fin,definitivno,rb
23:10 - 00:30,Dimmu borgir,nor,zakaj pa ne,b
,,,,
second,,,,
15:35 - 16:10,Fleshless,cz,ja,b
16:25 - 17:05,Animae Silentes,ita,ne,
17:25 - 18:05,Dopelord,pol,solidno,b
18:25 - 19:05,Svart crown,fra,kr uredu,
19:25 - 20:10,Helstar,usa,ni slabo sam ni pa tut neki ful,
20:35 - 21:25,The Ruins of Beverast,de,počasn ampak dobr,b
21:50 - 22:50,Impaled nazarene,fin,definitivno (korpiklaani bojo itk zamujal k bojo pjani),b
00:30 - 01:40,Tiamat,swe,preveč rocki (vsaj poznejš) za zaklučt bo dobr,
,,,,
third,,,,
,Desdemonia,lux,kr klasičn death,
,Decaying days,de,ni slabo bi blo pa lahko bolš,
,Richthammer,au,ni nek presežk,
,Obsolete incarnation,de,propr brutal,
,Autopsy night,rus,še kr uredu loh blo bolš,
