sobota 20. 07.,
third,
 ,Big bad wolf
 ,Circle of execution
 ,Convictive
 ,Doctor Cyclops
 ,Inmate
 ,Procreation
 ,Pyroxene
,
nedelja 21. 07.,
third,
 ,Signs of algorithm
 ,Hellavista
 ,Eternal delyria
 ,Klynt
 ,Molybaron
 ,Coexistence
 ,Teleport
,
ponedeljek 22. 07.,
main,
15:40 - 16:10,Ten ton slug
16:30 - 17:10,Unhuman insurrection
17:30 - 18:20,Lucifer
18:45 - 19:35,Alien Weaponry
20:00 - 21:00,While she sleeps
21:30 - 22:40,Neurosis
23:10 - 00:30,Arch enemy
,
second,
15:35 - 16:10,Fearancy
16:25 - 17:00,Hexa mera
17:20 - 18:00,Siska
18:20 - 19:05,Leeched
19:25 - 20:10,Rolo Tomassi
20:35 - 21:25,October tide
21:50 - 22:50,Dornenreich
00:30 - 01:40,Necrophobic
,
third,
 ,Distruzione
 ,Heathenspawn
 ,Bel o kan
 ,Moonskin
 ,Incursed
,
torek 23. 07.,
main,
15:40 - 16:10,Voice of ruin
16:30 - 17:10,W.E.B.
17:30 - 18:20,Infected rain
18:45 - 19:35,The Vintage Caravan
20:00 - 21:00,Rise of the northstar
21:30 - 22:40,Finntroll
23:10 - 00:30,Architects
,
second,
15:35 - 16:10,The bearded bastards
16:25 - 17:00,Reject the sickness
17:20 - 18:00,Kairos
18:20 - 19:05,Alkaloid
19:25 - 20:10,Ritam nereda
20:35 - 21:20,Noctiferia
21:50 - 22:50,Tribulation
00:30 - 01:40,In the woods
,
third,
 ,Slave pit
 ,The Privateer
 ,Islay
 ,Esodic
 ,Dead season
,
sreda 24. 07.,
main,
15:40 - 16:10,Supreme carnage
16:30 - 17:10,Altair
17:30 - 18:20,Dead Label
18:45 - 19:35,Kalmah
20:00 - 21:00,Kvelertak
21:30 - 22:40,Rotting Christ
23:10 - 00:30,Dream Theater
,
second,
15:35 - 16:10,Athiria
16:25 - 17:00,Glista
17:20 - 18:05,Atrexial
18:20 - 19:05,Hour of penance
19:25 - 20:10,Une misere
20:35 - 21:25,Stoned jesus
21:50 - 22:50,Saturnus
00:30 - 01:40,Akercocke
,
third,
 ,Scardust
 ,Shade of hatred
 ,Infinitas
 ,Leave scars
 ,Countless skies
,
četrtek 25. 07.,
main,
15:40 - 16:10,Morost
16:30 - 17:10,Hydra
17:30 - 18:20,Bloodshot Dawn
18:45 - 19:35,Decapitated
20:00 - 21:00,Soilwork
21:30 - 22:40,Hypocrisy
23:10 - 00:30,Demons & Wizards
,
second,
14:35 - 15:10,Orcus O dis
15:25 - 16:05,Heart of A Coward
16:20 - 17:00,Fallen Arise
17:20 - 18:00,Cliteater
18:20 - 19:05,Skeletal remains
19:25 - 20:10,Intervals
20:35 - 21:25,Liquid graveyard
21:50 - 22:50,Gaahls Wyrd
00:30 - 01:40,God is an astronaut
,
third,
 ,Lurking
 ,Arcanus
 ,Immortal shadow
 ,Swarm of serpents
 ,Captain morgan's revenge
,
petek 26. 07.,
main,
15:40 - 16:10,Winterhorde
16:30 - 17:10,Nox vorago
17:30 - 18:20,Critical mess
18:45 - 19:35,Bullet
20:00 - 21:00,Tarja
21:30 - 22:40,Korpiklaani
23:10 - 00:30,Dimmu borgir
,
second,
15:35 - 16:10,Fleshless
16:25 - 17:05,Animae Silentes
17:25 - 18:05,Dopelord
18:25 - 19:05,Svart crown
19:25 - 20:10,Helstar
20:35 - 21:25,The Ruins of Beverast
21:50 - 22:50,Impaled nazarene
00:30 - 01:40,Tiamat
,
third,
 ,Autopsy night
 ,Obsolete incarnation
 ,Richthammer
 ,Decaying days
 ,Desdemonia
